Citra,energy_0,homogenity_0,entrophy_0,contrast_0,energy_45,homogenity_45,entrophy_45,contrast_45,energy_90,homogenity_90,entrophy_90,contrast_90,energy_135,homogenity_135,entrophy_135,contrast_135,Label
361.png,0.0011427985520007877,13.58162885755152,7.2508929314819675,12.581628857551578,0.0008916979612942217,23.06557293169712,7.487155543356411,22.0655729316968,0.0012283803311153349,13.824692417739596,7.163784567426161,12.824692417739671,0.0008754698655751552,26.7296669470594,7.535706306777277,25.729666947059208,0
362.png,0.001539413130341438,18.822730431228393,7.174415941560683,17.822730431228273,0.001211956061883989,22.400523126231985,7.3715904114736075,21.40052312623199,0.0015918766299399959,10.877388105456728,7.02427604599681,9.87738810545684,0.0011118890438423,32.11749259620858,7.4502172729841165,31.117492596208592,0
363.png,0.0013950467701432845,9.51223175965656,7.0521749513433,8.512231759656563,0.0009492378602325457,23.01080636347456,7.475560689950826,22.01080636347464,0.0012566772128119986,13.732444308195275,7.191474597354231,12.732444308195385,0.0009993298639762143,19.646678987558463,7.408289631811606,18.64667898755853,0
364.png,0.0014985641032002714,10.16799509503362,7.019628978478256,9.167995095033719,0.0010391919388776803,19.09586963596064,7.378863719158785,18.095869635960764,0.0014939654822061844,10.570901287553529,7.026082188380894,9.57090128755363,0.0011261429526146212,18.828954504800393,7.307537007842089,17.82895450480064,0
365.png,0.0023582198533598567,8.780792969548251,6.818354535466567,7.780792969548335,0.0015964580668449584,23.085804163315355,7.250114897410125,22.08580416331543,0.002084073890013988,12.737849989781173,6.953791113042187,11.73784998978135,0.001744804816182211,15.315052568455647,7.1291945828943275,14.315052568455746,0
366.png,0.0021913999127622166,8.223529531984461,6.723372607255319,7.223529531984471,0.0017700365355002952,11.777309092695333,6.922270125264426,10.777309092695313,0.002017334307961112,9.618365011240492,6.788527188533177,8.618365011240545,0.0014218527664648835,20.48706613371648,7.166484979575696,19.487066133716507,0
367.png,0.0024688683107694084,9.843917841814688,6.712314495392892,8.843917841814838,0.001970917230152849,12.039148507678014,6.928579169313816,11.039148507678144,0.002245125347258728,10.728851420396442,6.822953672894011,9.72885142039648,0.0015828240923875339,25.70121837654877,7.1857583853420675,24.70121837654865,0
368.png,0.0015881667145543222,7.733680768444707,7.005538885902713,6.733680768444721,0.0010922106579779522,17.973958301354315,7.422601836772264,16.973958301354372,0.0014845005851567242,12.011185366850508,7.152135889377087,11.011185366850608,0.0011405642778955884,18.502436548431145,7.394449498025609,17.502436548431284,0
369.png,0.001416371467324315,10.42782137747789,7.081617929371668,9.427821377478063,0.0009899826401678592,20.11285486521719,7.434132540423218,19.112854865217333,0.0014050325650715552,11.85596770897194,7.100002660600784,10.855967708971873,0.0010540551737880806,20.800522307568134,7.384260970662197,19.800522307567867,0
37.png,0.001686668110605987,16.850784794604728,6.971472971286964,15.85078479460456,0.0011001064884140718,29.103432043733097,7.356562293034369,28.103432043733182,0.001525059734270887,15.492832618025673,7.019583046750951,14.492832618025789,0.0012516374501073259,29.558017687233754,7.271843215744728,28.558017687233395,0
370.png,0.0014135019104315695,10.087347230737638,6.997313500370387,9.0873472307378,0.000998988540388457,26.003391315204293,7.39778331517209,25.003391315204137,0.001295281833192315,17.363509094625087,7.1571139083937165,16.363509094624895,0.000981286502899946,24.07942881819744,7.404328632408249,23.079428818197343,0
